id;palabra;lemma;nominacion;nominacion_agrup;diccionarios;obs
5687; Obreros Navales;Obreros Navales;;portuario_naval;RAMAS;
5688; industria naval;industria naval;;portuario_naval;RAMAS;
5689; Industria Naval;Industria Naval;;portuario_naval;RAMAS;
5690; Conductores Navales;Conductores Navales;;portuario_naval;RAMAS;
5691; Actividad Naval;Actividad Naval;;portuario_naval;RAMAS;
5692; Marítimos Unidos;Marítimos Unidos;;portuario_naval;RAMAS;
5693; Trabajadores de Pescado;Trabajadores de Pescado;;portuario_naval;RAMAS;
5694; Marítimo de Pescadores;Marítimo de Pescadores;;portuario_naval;RAMAS;
5695; Industria del Pescado;Industria del Pescado;;portuario_naval;RAMAS;
5696; Portuarios Argentinos;Portuarios Argentinos;;portuario_naval;RAMAS;
5697; trabajadores portuarios;trabajadores portuarios;;portuario_naval;RAMAS;
5698; AACPyPP;AACPyPP;;portuario_naval;RAMAS;
5699; ABP;ABP;;portuario_naval;RAMAS;
5700; AMPRA;AMPRA;;portuario_naval;RAMAS;
5701; CTOPCM;CTOPCM;;portuario_naval;RAMAS;
5702; SAONSINRA;SAONSINRA;;portuario_naval;RAMAS;
5703; SICONARA;SICONARA;;portuario_naval;RAMAS;
5704; SANAM;SANAM;;portuario_naval;RAMAS;
5705; SOMU;SOMU;;portuario_naval;RAMAS;
5706; SITRAPE;SITRAPE;;portuario_naval;RAMAS;
5707; SIMAPE;SIMAPE;;portuario_naval;RAMAS;
5708; SOIP;SOIP;;portuario_naval;RAMAS;
5709; SUPA;SUPA;;portuario_naval;RAMAS;
5710; Asociación Argentina de Actores;Asociación Argentina de Actores;;prensa_comunicaciones_y_arte;RAMAS;
5711; Gremial de Músicos;Gremial de Músicos;;prensa_comunicaciones_y_arte;RAMAS;
5712; Personal Supervisión y Técnicos Telefónicos;Personal Supervisión y Técnicos Telefónicos;;prensa_comunicaciones_y_arte;RAMAS;
5713; Sindicato Argentino de Televisión;Sindicato Argentino de Televisión;;prensa_comunicaciones_y_arte;RAMAS;
5714; Sindicato de Actores;Sindicato de Actores;;prensa_comunicaciones_y_arte;RAMAS;
5715; Empleados Cinematográficos;Empleados Cinematográficos;;prensa_comunicaciones_y_arte;RAMAS;
5716; Industria de las Telecomunicaciones;Industria de las Telecomunicaciones;;prensa_comunicaciones_y_arte;RAMAS;
5717; Sindicato de Prensa;Sindicato de Prensa;;prensa_comunicaciones_y_arte;RAMAS;
5718; Trabajadores de Atención Telefónica;Trabajadores de Atención Telefónica;;prensa_comunicaciones_y_arte;RAMAS;
5719; Argentina de Locutores;Argentina de Locutores;;prensa_comunicaciones_y_arte;RAMAS;
5720; Maquinistas de Teatros y Televisión;Maquinistas de Teatros y Televisión;;prensa_comunicaciones_y_arte;RAMAS;
5721; AAA;AAA;;prensa_comunicaciones_y_arte;RAMAS;
5722; AGM;AGM;;prensa_comunicaciones_y_arte;RAMAS;
5723; OPSTTA;OPSTTA;;prensa_comunicaciones_y_arte;RAMAS;
5724; SATSAID;SATSAID;;prensa_comunicaciones_y_arte;RAMAS;
5725; SAM;SAM;;prensa_comunicaciones_y_arte;RAMAS;
5726; SECin;SECin;;prensa_comunicaciones_y_arte;RAMAS;
5727; SOEESIT;SOEESIT;;prensa_comunicaciones_y_arte;RAMAS;
5728; SPMDP;SPMDP;;prensa_comunicaciones_y_arte;RAMAS;
5729; SUTAT;SUTAT;;prensa_comunicaciones_y_arte;RAMAS;
5730; SAL;SAL;;prensa_comunicaciones_y_arte;RAMAS;
5731; UMTT;UMTT;;prensa_comunicaciones_y_arte;RAMAS;
5732; Trabajadores Horticultores;Trabajadores Horticultores;;rural;RAMAS;
5733; Trabajadores Rurales;Trabajadores Rurales;;rural;RAMAS;
5734; Recibidores de Granos;Recibidores de Granos;;rural;RAMAS;
5735; SATHA;SATHA;;rural;RAMAS;
5736; UATRE;UATRE;;rural;RAMAS;
5737; URGARA;URGARA;;rural;RAMAS;
5738; Trabajadores de la Sanidad;Trabajadores de la Sanidad;;salud;RAMAS;
5739; Profesionales de la Salud;Profesionales de la Salud;;salud;RAMAS;
5740; trabajadores de la salud;trabajadores de la salud;;salud;RAMAS;
5741; Salud Publica;Salud Publica;;salud;RAMAS;
5742; ATSA;ATSA;;salud;RAMAS;
5743; CICOP;CICOP;;salud;RAMAS;
5744; FEPROSA;FEPROSA;;salud;RAMAS;
5745; SSP;SSP;;salud;RAMAS;
5746; Sindicato de Seguridad;Sindicato de Seguridad;;seguridad;RAMAS;
5747; Sindicato Policial;Sindicato Policial;;seguridad;RAMAS;
5748; Custodios Argentinos;Custodios Argentinos;;seguridad;RAMAS;
5749; SISERA;SISERA;;seguridad;RAMAS;
5750; SIPOBA;SIPOBA;;seguridad;RAMAS;
5751; SUTCA;SUTCA;;seguridad;RAMAS;
5752; Asociación Bancaria;Asociación Bancaria;;servicios_varios_(bancarios_correos_cementerio_maestranza_edificios);RAMAS;
5753; Empleados de Bancos;Empleados de Bancos;;servicios_varios_(bancarios_correos_cementerio_maestranza_edificios);RAMAS;
5754; Conservación Ecológica Ambiental y Servicios Especiales;Conservación Ecológica Ambiental y Servicios Especiales;;servicios_varios_(bancarios_correos_cementerio_maestranza_edificios);RAMAS;
5755; Empleados de Albergues Transitorios;Empleados de Albergues Transitorios;;servicios_varios_(bancarios_correos_cementerio_maestranza_edificios);RAMAS;
5756; Empleados de los Cementerios;Empleados de los Cementerios;;servicios_varios_(bancarios_correos_cementerio_maestranza_edificios);RAMAS;
5757; Trabajadores del Correo Oficial;Trabajadores del Correo Oficial;;servicios_varios_(bancarios_correos_cementerio_maestranza_edificios);RAMAS;
5758; Obreros de Maestranza;Obreros de Maestranza;;servicios_varios_(bancarios_correos_cementerio_maestranza_edificios);RAMAS;
5759; Trabajadores de Edificios de Renta;Trabajadores de Edificios de Renta;;servicios_varios_(bancarios_correos_cementerio_maestranza_edificios);RAMAS;
5760; Trabajadores de Entidades Deportivas;Trabajadores de Entidades Deportivas;;servicios_varios_(bancarios_correos_cementerio_maestranza_edificios);RAMAS;
5761; AGOEC;AGOEC;;servicios_varios_(bancarios_correos_cementerio_maestranza_edificios);RAMAS;
5762; GTA;GTA;;servicios_varios_(bancarios_correos_cementerio_maestranza_edificios);RAMAS;
5763; SEAT;SEAT;;servicios_varios_(bancarios_correos_cementerio_maestranza_edificios);RAMAS;
5764; SOECRA;SOECRA;;servicios_varios_(bancarios_correos_cementerio_maestranza_edificios);RAMAS;
5765; FOECyT;FOECyT;;servicios_varios_(bancarios_correos_cementerio_maestranza_edificios);RAMAS;
5766; SOM;SOM;;servicios_varios_(bancarios_correos_cementerio_maestranza_edificios);RAMAS;
5767; SUTERyH;SUTERyH;;servicios_varios_(bancarios_correos_cementerio_maestranza_edificios);RAMAS;
5768; UTEDYC;UTEDYC;;servicios_varios_(bancarios_correos_cementerio_maestranza_edificios);RAMAS;
5769; Textiles y Afines;Textiles y Afines;;textiles_y_afines;RAMAS;
5770; Empleados Textiles;Empleados Textiles;;textiles_y_afines;RAMAS;
5771; industria textil;industria textil;;textiles_y_afines;RAMAS;
5772; Industria del Vestido;Industria del Vestido;;textiles_y_afines;RAMAS;
5773; Tintoreros;Tintoreros;;textiles_y_afines;RAMAS;
5774; Industria del Calzado;Industria del Calzado;;textiles_y_afines;RAMAS;
5775; SATAD;SATAD;;textiles_y_afines;RAMAS;
5776; SETIA;SETIA;;textiles_y_afines;RAMAS;
5777; SOIVA;SOIVA;;textiles_y_afines;RAMAS;
5778; UOETSYLRA;UOETSYLRA;;textiles_y_afines;RAMAS;
5779; UTIC;UTIC;;textiles_y_afines;RAMAS;
5780; Personal de la Dirección de Ferrocarriles;Personal de la Dirección de Ferrocarriles;;transporte_y_afines;RAMAS;
5781; Conductores de Taxis;Conductores de Taxis;;transporte_y_afines;RAMAS;
5782; Cadetes, Mensajeros;Cadetes, Mensajeros;;transporte_y_afines;RAMAS;
5783; Choferes de Camiones;Choferes de Camiones;;transporte_y_afines;RAMAS;
5784; Conductores de Remises;Conductores de Remises;;transporte_y_afines;RAMAS;
5785; Guincheros y Maquinistas;Guincheros y Maquinistas;;transporte_y_afines;RAMAS;
5786; Transporte Unido;Transporte Unido;;transporte_y_afines;RAMAS;
5787; Peones de Taxis;Peones de Taxis;;transporte_y_afines;RAMAS;
5788; peones de taxis;peones de taxis;;transporte_y_afines;RAMAS;
5789; Unión de Conductores;Unión de Conductores;;transporte_y_afines;RAMAS;
5790; Unión Ferroviaria;Unión Ferroviaria;;transporte_y_afines;RAMAS;
5791; Tranviarios Automotor;Tranviarios Automotor;;transporte_y_afines;RAMAS;
5792; APDFA;APDFA;;transporte_y_afines;RAMAS;
5793; FENCOTAX;FENCOTAX;;transporte_y_afines;RAMAS;
5794; SICAMM;SICAMM;;transporte_y_afines;RAMAS;
5795; SCC;SCC;;transporte_y_afines;RAMAS;
5796; SECR;SECR;;transporte_y_afines;RAMAS;
5797; SGYMGM;SGYMGM;;transporte_y_afines;RAMAS;
5798; SIMPETAX;SIMPETAX;;transporte_y_afines;RAMAS;
5799; SOTUP;SOTUP;;transporte_y_afines;RAMAS;
5800; SUPETAX;SUPETAX;;transporte_y_afines;RAMAS;
5801; UCRA;UCRA;;transporte_y_afines;RAMAS;
5802; UTA;UTA;;transporte_y_afines;RAMAS;
5803; Docentes Universitarios;Docentes Universitarios;;educación;RAMAS;
5804; Movimiento de Trabajadores Excluidos;Movimiento de Trabajadores Excluidos;;mixto;RAMAS;
5805; Conductores de Taxis;Conductores de Taxis;;transporte_y_afines;RAMAS;
5806; CONADU;CONADU;;educación;RAMAS;
5807; MTE;MTE;;mixto;RAMAS;
5808; SCT;SCT;;transporte_y_afines;RAMAS;
