id;palabra;lemma;nominacion;nominacion_agrup;diccionarios;obs
7066; padres;resto;resto;resto;SUJETOS;
7067; patronal;empresarixs;empresarixs;empresarixs;SUJETOS;
7068; porteros;porteros;estatales;trabajadorxs;SUJETOS;
7069; precarizad;trabajadorxs;trabajadorxs;trabajadorxs;SUJETOS;
7070; prostitutas;resto;resto;resto;SUJETOS;
7071; recicladores;recicladores;sindicatos;trabajadorxs;SUJETOS;
7072; referentes;;;indefinido;SUJETOS;
7073; SIMAPE;SIMAPE;sindicatos;trabajadorxs;SUJETOS;
7074; sindicato;sindicatos;sindicatos;trabajadorxs;SUJETOS;
7075; sindicatos;sindicatos;sindicatos;trabajadorxs;SUJETOS;
7076; Sociedad Argentina de Locutores; Sociedad Argentina de Locutores;sindicatos;trabajadorxs;SUJETOS;
7077; Sociedad de Conductores de Taxis; Sociedad de Conductores de Taxis;sindicatos;trabajadorxs;SUJETOS;
7078; Sociedad de Fomento;activismo barrial;activismo barrial;soc_fomento;SUJETOS;
7079; Sociedad Gremial; Sociedad Gremial;sindicatos;trabajadorxs;SUJETOS;
7080; SOIP;SOIP;sindicatos;trabajadorxs;SUJETOS;
7081; SOMU;SOMU;sindicatos;trabajadorxs;SUJETOS;
7082; SUPA;SUPA;sindicatos;trabajadorxs;SUJETOS;
7083; SUTEBA;SUTEBA;sindicatos;trabajadorxs;SUJETOS;
7084; trabajadoras;trabajadorxs;trabajadorxs;trabajadorxs;SUJETOS;
7085; trabajadores;trabajadorxs;trabajadorxs;trabajadorxs;SUJETOS;
7086; travestis;resto;resto;resto;SUJETOS;
7087; Tribuna Docente; Tribuna Docente;sindicatos;trabajadorxs;SUJETOS;
7088; UCIP;empresarixs;empresarixs;empresarixs;SUJETOS;
7089; Unión Argentina de Trabajador; Unión Argentina de Trabajador;sindicatos;trabajadorxs;SUJETOS;
7090; Unión de Conductores; Unión de Conductores;sindicatos;trabajadorxs;SUJETOS;
7091; Unión de Docentes; Unión de Docentes;sindicatos;trabajadorxs;SUJETOS;
7092; Unión de Empleados; Unión de Empleados;sindicatos;trabajadorxs;SUJETOS;
7093; Unión de Obreros; Unión de Obreros;sindicatos;trabajadorxs;SUJETOS;
7094; Unión de Recibidores; Unión de Recibidores;sindicatos;trabajadorxs;SUJETOS;
7095; Unión de Trabajador; Unión de Trabajador;sindicatos;trabajadorxs;SUJETOS;
7096; Unión del Personal; Unión del Personal;sindicatos;trabajadorxs;SUJETOS;
7097; Unión Ferroviaria; Unión Ferroviaria;sindicatos;trabajadorxs;SUJETOS;
7098; Unión Grafica Marplatense; Unión Grafica Marplatense;sindicatos;trabajadorxs;SUJETOS;
7099; Unión Guardavidas; Unión Guardavidas;sindicatos;trabajadorxs;SUJETOS;
7100; Unión Maquinistas; Unión Maquinistas;sindicatos;trabajadorxs;SUJETOS;
7101; Unión Obrera; Unión Obrera;sindicatos;trabajadorxs;SUJETOS;
7102; Unión Obrero; Unión Obrero;sindicatos;trabajadorxs;SUJETOS;
7103; Unión Trabajador; Unión Trabajador;sindicatos;trabajadorxs;SUJETOS;
7104; Unión Tranviarios; Unión Tranviarios;sindicatos;trabajadorxs;SUJETOS;
7105; Unión Viajantes; Unión Viajantes;sindicatos;trabajadorxs;SUJETOS;
7106; usuari;usuarixs;usuarixs;usuarixs;SUJETOS;
7107; vecina;vecinxs;vecinxs;vecinxs;SUJETOS;
7108; vecino;vecinxs;vecinxs;vecinxs;SUJETOS;
7109; AAA;AAA;sindicatos;trabajadorxs;SUJETOS;
7110; AACPYPP;AACPYPP;sindicatos;trabajadorxs;SUJETOS;
7111; AB;AB ;sindicatos;trabajadorxs;SUJETOS;
7112; ABP;ABP;sindicatos;trabajadorxs;SUJETOS;
7113; ADM;ADM;sindicatos;trabajadorxs;SUJETOS;
7114; ADUM;ADUM;sindicatos;trabajadorxs;SUJETOS;
7115; AEANA;AEANA;sindicatos;trabajadorxs;SUJETOS;
7116; AECN;AECN;sindicatos;trabajadorxs;SUJETOS;
7117; AEFIP;AEFIP;sindicatos;trabajadorxs;SUJETOS;
7118; AEMOPBA;AEMOPBA;sindicatos;trabajadorxs;SUJETOS;
7119; AERI;AERI;sindicatos;trabajadorxs;SUJETOS;
7120; AGM;AGM;sindicatos;trabajadorxs;SUJETOS;
7121; AGOEC;AGOEC;sindicatos;trabajadorxs;SUJETOS;
7122; AJB;AJB;sindicatos;trabajadorxs;SUJETOS;
7123; ALEARA;ALEARA;sindicatos;trabajadorxs;SUJETOS;
7124; AME;AME;sindicatos;trabajadorxs;SUJETOS;
7125; AMET;AMET;sindicatos;trabajadorxs;SUJETOS;
7126; AMPRA;AMPRA;sindicatos;trabajadorxs;SUJETOS;
7127; AMS;AMS;sindicatos;trabajadorxs;SUJETOS;
7128; AMTAR;AMTAR;sindicatos;trabajadorxs;SUJETOS;
7129; APA;APA;sindicatos;trabajadorxs;SUJETOS;
7130; APDFA;APDFA;sindicatos;trabajadorxs;SUJETOS;
7131; APINIDEP;APINIDEP;sindicatos;trabajadorxs;SUJETOS;
7132; APINTA;APINTA;sindicatos;trabajadorxs;SUJETOS;
7133; APOC;APOC;sindicatos;trabajadorxs;SUJETOS;
7134; APOPS;APOPS;sindicatos;trabajadorxs;SUJETOS;
7135; APROPOBA;APROPOBA;sindicatos;trabajadorxs;SUJETOS;
7136; APTA;APTA;sindicatos;trabajadorxs;SUJETOS;
7137; APU;APU;sindicatos;trabajadorxs;SUJETOS;
7138; APV;APV;sindicatos;trabajadorxs;SUJETOS;
